date,year,month,station,state,zone,aqi,category,pm25_ugm3,pm10_ugm3,no2_ugm3,so2_ugm3,co_mgm3,o3_ugm3,dominant_pollutant
2015-01-19,2015,1,Mumbai,Maharashtra,West,66,Satisfactory,27.1,43.0,14.1,6.6,0.85,49.5,PM2.5
2015-01-20,2015,1,Mumbai,Maharashtra,West,174,Moderate,70.1,119.4,34.6,25.9,2.76,44.8,PM2.5
2015-01-21,2015,1,Mumbai,Maharashtra,West,227,Poor,91.4,198.2,41.8,25.7,5.02,65.0,PM2.5
2015-01-22,2015,1,Mumbai,Maharashtra,West,101,Moderate,51.5,75.0,16.4,5.5,2.17,51.5,PM2.5
2015-01-23,2015,1,Mumbai,Maharashtra,West,77,Satisfactory,36.7,53.6,17.2,6.8,2.08,51.4,PM2.5
2015-01-24,2015,1,Mumbai,Maharashtra,West,123,Moderate,46.8,115.1,30.2,9.3,2.77,32.3,PM2.5
2015-01-25,2015,1,Mumbai,Maharashtra,West,157,Moderate,71.5,112.6,23.7,21.9,4.15,76.1,PM2.5
2015-01-26,2015,1,Mumbai,Maharashtra,West,80,Satisfactory,33.8,69.8,19.8,11.1,1.96,73.8,PM2.5
2015-01-27,2015,1,Mumbai,Maharashtra,West,109,Moderate,42.4,101.1,23.2,5.6,1.48,54.6,PM2.5
2015-01-28,2015,1,Mumbai,Maharashtra,West,154,Moderate,74.6,130.7,25.7,18.7,2.43,25.7,PM2.5
2015-01-29,2015,1,Mumbai,Maharashtra,West,228,Poor,108.7,207.9,49.9,24.4,3.08,33.6,PM2.5
2015-01-30,2015,1,Mumbai,Maharashtra,West,83,Satisfactory,33.5,79.0,15.5,11.6,1.83,34.6,PM2.5
2015-01-31,2015,1,Mumbai,Maharashtra,West,144,Moderate,66.8,114.9,23.5,17.6,2.37,79.1,PM2.5
2015-02-01,2015,2,Mumbai,Maharashtra,West,81,Satisfactory,31.7,76.2,20.6,11.5,1.45,47.3,NO2
2015-02-02,2015,2,Mumbai,Maharashtra,West,96,Satisfactory,51.2,87.6,16.8,8.5,2.46,48.5,PM2.5
2015-02-03,2015,2,Mumbai,Maharashtra,West,55,Satisfactory,25.3,51.7,12.3,5.9,0.75,39.7,PM2.5
2015-02-04,2015,2,Mumbai,Maharashtra,West,81,Satisfactory,42.0,71.0,18.1,9.7,1.44,27.1,NO2
2015-02-05,2015,2,Mumbai,Maharashtra,West,114,Moderate,57.7,104.6,28.5,11.5,2.28,37.9,PM10
2015-02-06,2015,2,Mumbai,Maharashtra,West,100,Satisfactory,48.6,89.5,24.7,8.4,1.8,72.7,PM2.5
2015-02-07,2015,2,Mumbai,Maharashtra,West,85,Satisfactory,31.1,67.1,17.4,6.7,1.82,32.9,PM2.5
2015-02-08,2015,2,Mumbai,Maharashtra,West,66,Satisfactory,25.3,53.3,15.3,4.7,1.45,71.8,PM2.5
2015-02-09,2015,2,Mumbai,Maharashtra,West,208,Poor,98.7,181.4,53.5,21.1,3.57,86.9,NO2
2015-02-10,2015,2,Mumbai,Maharashtra,West,61,Satisfactory,26.8,40.6,8.7,8.9,1.55,67.0,PM2.5
2015-02-11,2015,2,Mumbai,Maharashtra,West,58,Satisfactory,22.7,40.0,9.9,6.1,1.36,83.2,NO2
2015-02-12,2015,2,Mumbai,Maharashtra,West,48,Good,25.5,42.1,9.9,5.3,0.9,68.4,NO2
2015-02-13,2015,2,Mumbai,Maharashtra,West,59,Satisfactory,29.3,38.0,9.1,3.2,0.75,24.4,NO2
2015-02-14,2015,2,Mumbai,Maharashtra,West,95,Satisfactory,42.3,63.8,18.9,9.2,1.4,65.5,PM2.5
2015-02-15,2015,2,Mumbai,Maharashtra,West,36,Good,17.0,30.4,5.2,3.1,0.79,24.0,NO2
2015-02-16,2015,2,Mumbai,Maharashtra,West,127,Moderate,60.8,87.9,18.9,14.5,1.58,50.2,PM10
2015-02-17,2015,2,Mumbai,Maharashtra,West,103,Moderate,47.7,78.7,22.4,9.9,2.14,52.5,PM2.5
2015-02-18,2015,2,Mumbai,Maharashtra,West,75,Satisfactory,40.0,69.7,12.3,4.3,1.02,61.8,PM2.5
2015-02-19,2015,2,Mumbai,Maharashtra,West,65,Satisfactory,27.1,59.2,9.3,8.5,1.07,54.2,PM2.5
2015-02-20,2015,2,Mumbai,Maharashtra,West,92,Satisfactory,43.5,84.7,21.0,12.0,1.52,36.1,PM2.5
2015-02-21,2015,2,Mumbai,Maharashtra,West,99,Satisfactory,50.0,94.7,18.8,8.6,2.42,35.8,PM2.5
2015-02-22,2015,2,Mumbai,Maharashtra,West,99,Satisfactory,50.9,77.0,22.8,12.4,1.35,46.0,NO2
2015-02-23,2015,2,Mumbai,Maharashtra,West,80,Satisfactory,40.7,59.4,19.8,7.1,0.97,68.6,NO2
2015-02-24,2015,2,Mumbai,Maharashtra,West,91,Satisfactory,48.3,74.9,19.6,8.6,1.52,47.4,PM2.5
2015-02-25,2015,2,Mumbai,Maharashtra,West,129,Moderate,63.9,115.2,30.3,7.6,2.57,26.1,NO2
2015-02-26,2015,2,Mumbai,Maharashtra,West,82,Satisfactory,36.0,75.8,14.9,5.1,1.17,36.5,PM2.5
2015-02-27,2015,2,Mumbai,Maharashtra,West,102,Moderate,38.6,68.0,22.9,5.8,2.57,77.2,NO2
2015-02-28,2015,2,Mumbai,Maharashtra,West,66,Satisfactory,24.8,63.1,12.2,5.7,1.65,54.6,NO2
2015-03-01,2015,3,Mumbai,Maharashtra,West,61,Satisfactory,22.9,54.2,12.6,5.6,1.62,77.2,NO2
2015-03-02,2015,3,Mumbai,Maharashtra,West,79,Satisfactory,28.6,62.4,11.6,4.9,1.1,29.9,NO2
2015-03-03,2015,3,Mumbai,Maharashtra,West,133,Moderate,61.8,126.1,24.6,10.4,3.44,65.4,PM10
2015-03-04,2015,3,Mumbai,Maharashtra,West,87,Satisfactory,32.5,71.1,22.3,8.9,1.92,50.3,PM2.5
2015-03-05,2015,3,Mumbai,Maharashtra,West,67,Satisfactory,31.7,55.4,16.6,3.7,1.11,87.2,PM10
2015-03-06,2015,3,Mumbai,Maharashtra,West,192,Moderate,78.7,134.4,37.6,16.4,4.1,33.8,NO2
2015-03-07,2015,3,Mumbai,Maharashtra,West,37,Good,18.7,31.8,5.9,5.2,0.93,57.2,PM10
2015-03-08,2015,3,Mumbai,Maharashtra,West,47,Good,24.8,43.1,6.8,2.5,0.85,86.6,PM2.5
2015-03-09,2015,3,Mumbai,Maharashtra,West,90,Satisfactory,38.6,85.5,21.7,12.0,1.75,28.1,PM2.5
2015-03-10,2015,3,Mumbai,Maharashtra,West,42,Good,15.5,38.5,10.0,6.3,1.17,38.0,NO2
2015-03-11,2015,3,Mumbai,Maharashtra,West,146,Moderate,77.4,133.1,24.8,13.9,2.05,56.2,PM10
2015-03-12,2015,3,Mumbai,Maharashtra,West,83,Satisfactory,33.3,71.0,17.8,7.1,1.15,60.3,PM10
2015-03-13,2015,3,Mumbai,Maharashtra,West,88,Satisfactory,43.9,71.0,21.3,9.3,1.85,90.9,PM10
2015-03-14,2015,3,Mumbai,Maharashtra,West,72,Satisfactory,27.7,46.7,16.6,8.1,1.68,69.4,PM2.5
2015-03-15,2015,3,Mumbai,Maharashtra,West,67,Satisfactory,24.3,50.4,14.1,6.0,1.27,43.2,PM2.5
2015-03-16,2015,3,Mumbai,Maharashtra,West,71,Satisfactory,32.1,63.2,13.3,8.0,1.83,64.4,PM10
2015-03-17,2015,3,Mumbai,Maharashtra,West,79,Satisfactory,32.1,62.2,20.4,7.8,1.36,65.9,PM2.5
2015-03-18,2015,3,Mumbai,Maharashtra,West,47,Good,17.6,32.0,7.3,3.1,0.67,63.4,PM2.5
2015-03-19,2015,3,Mumbai,Maharashtra,West,51,Satisfactory,21.5,47.3,10.0,6.0,0.75,59.8,PM10
2015-03-20,2015,3,Mumbai,Maharashtra,West,64,Satisfactory,25.1,42.8,9.9,6.1,0.98,34.1,PM2.5
2015-03-21,2015,3,Mumbai,Maharashtra,West,81,Satisfactory,39.2,52.9,19.1,9.1,1.08,4.3,PM10
2015-03-22,2015,3,Mumbai,Maharashtra,West,76,Satisfactory,38.4,66.8,12.3,5.4,1.36,45.6,PM10
2015-03-23,2015,3,Mumbai,Maharashtra,West,206,Poor,87.8,162.3,47.3,11.1,3.3,43.8,NO2
2015-03-24,2015,3,Mumbai,Maharashtra,West,100,Satisfactory,45.2,81.0,15.3,9.5,2.05,56.2,PM10
2015-03-25,2015,3,Mumbai,Maharashtra,West,57,Satisfactory,24.4,36.8,10.2,4.1,0.98,31.9,PM2.5
2015-03-26,2015,3,Mumbai,Maharashtra,West,157,Moderate,78.8,125.5,23.6,16.3,3.36,67.6,NO2
2015-03-27,2015,3,Mumbai,Maharashtra,West,67,Satisfactory,25.7,49.0,12.3,7.7,1.42,81.6,PM10
2015-03-28,2015,3,Mumbai,Maharashtra,West,45,Good,17.0,31.0,7.6,3.0,0.67,61.3,NO2
2015-03-29,2015,3,Mumbai,Maharashtra,West,57,Satisfactory,29.7,37.9,11.6,5.2,1.58,39.1,PM2.5
2015-03-30,2015,3,Mumbai,Maharashtra,West,72,Satisfactory,38.5,66.0,17.1,5.5,1.06,31.8,PM10
2015-03-31,2015,3,Mumbai,Maharashtra,West,98,Satisfactory,45.1,80.6,17.0,12.4,1.47,54.2,PM2.5
2015-04-01,2015,4,Mumbai,Maharashtra,West,58,Satisfactory,26.2,41.6,8.9,6.4,0.96,13.9,NO2
2015-04-02,2015,4,Mumbai,Maharashtra,West,50,Good,22.3,40.5,7.3,4.2,0.71,55.4,PM10
2015-04-03,2015,4,Mumbai,Maharashtra,West,119,Moderate,48.3,102.1,27.5,13.0,2.33,38.5,NO2
2015-04-04,2015,4,Mumbai,Maharashtra,West,39,Good,20.6,35.3,10.0,2.4,0.92,29.3,NO2
2015-04-05,2015,4,Mumbai,Maharashtra,West,82,Satisfactory,38.0,74.6,12.9,10.6,1.25,46.9,PM10
2015-04-06,2015,4,Mumbai,Maharashtra,West,70,Satisfactory,35.5,59.7,14.2,6.0,1.82,43.6,NO2
2015-04-07,2015,4,Mumbai,Maharashtra,West,129,Moderate,56.6,98.1,25.2,10.3,3.09,41.8,PM2.5
2015-04-08,2015,4,Mumbai,Maharashtra,West,42,Good,21.9,32.0,8.6,5.9,0.92,50.3,NO2
2015-04-09,2015,4,Mumbai,Maharashtra,West,44,Good,16.9,39.3,9.4,4.5,1.16,72.9,PM2.5
2015-04-10,2015,4,Mumbai,Maharashtra,West,65,Satisfactory,27.0,46.8,14.9,3.5,1.37,58.1,PM2.5
2015-04-11,2015,4,Mumbai,Maharashtra,West,96,Satisfactory,40.5,86.7,14.7,12.9,1.35,56.7,NO2
2015-04-12,2015,4,Mumbai,Maharashtra,West,133,Moderate,51.5,94.9,30.1,16.2,2.96,41.1,PM2.5
2015-04-13,2015,4,Mumbai,Maharashtra,West,94,Satisfactory,38.1,70.6,15.2,13.2,2.01,87.5,PM10
2015-04-14,2015,4,Mumbai,Maharashtra,West,56,Satisfactory,29.7,38.6,11.8,5.6,1.22,3.5,PM2.5
2015-04-15,2015,4,Mumbai,Maharashtra,West,83,Satisfactory,40.3,77.6,18.7,5.4,1.76,64.5,PM2.5
2015-04-16,2015,4,Mumbai,Maharashtra,West,46,Good,22.7,43.2,11.5,4.4,0.64,87.7,PM2.5
2015-04-17,2015,4,Mumbai,Maharashtra,West,81,Satisfactory,37.8,62.2,11.9,6.8,2.01,71.9,PM10
2015-04-18,2015,4,Mumbai,Maharashtra,West,112,Moderate,58.9,84.1,20.3,13.9,2.15,3.6,PM10
2015-04-19,2015,4,Mumbai,Maharashtra,West,72,Satisfactory,27.7,50.1,14.4,6.6,1.92,19.9,PM10
2015-04-20,2015,4,Mumbai,Maharashtra,West,123,Moderate,58.3,79.2,27.0,8.3,3.37,13.1,NO2
2015-04-21,2015,4,Mumbai,Maharashtra,West,71,Satisfactory,26.7,68.1,14.2,7.8,0.93,27.9,PM10
2015-04-22,2015,4,Mumbai,Maharashtra,West,58,Satisfactory,30.3,40.9,9.4,3.1,1.13,63.5,PM2.5
2015-04-23,2015,4,Mumbai,Maharashtra,West,60,Satisfactory,30.0,47.1,12.2,5.6,1.1,52.1,PM10
2015-04-24,2015,4,Mumbai,Maharashtra,West,49,Good,19.2,44.9,12.4,4.3,0.8,54.1,PM10
2015-04-25,2015,4,Mumbai,Maharashtra,West,51,Satisfactory,18.6,35.2,11.5,5.9,0.63,85.0,PM2.5
2015-04-26,2015,4,Mumbai,Maharashtra,West,60,Satisfactory,28.9,38.8,9.1,7.8,0.89,35.4,NO2
2015-04-27,2015,4,Mumbai,Maharashtra,West,49,Good,18.5,35.2,11.1,6.6,1.24,64.3,PM10
2015-04-28,2015,4,Mumbai,Maharashtra,West,154,Moderate,61.1,113.0,38.1,7.9,2.06,29.9,NO2
2015-04-29,2015,4,Mumbai,Maharashtra,West,91,Satisfactory,39.7,84.2,21.7,7.7,1.47,25.0,NO2
2015-04-30,2015,4,Mumbai,Maharashtra,West,135,Moderate,55.1,113.4,25.5,14.2,2.56,14.9,NO2
2015-05-01,2015,5,Mumbai,Maharashtra,West,87,Satisfactory,43.3,59.6,21.2,8.6,2.29,48.1,PM2.5
2015-05-02,2015,5,Mumbai,Maharashtra,West,69,Satisfactory,25.1,50.1,14.1,7.8,1.11,76.9,NO2
2015-05-03,2015,5,Mumbai,Maharashtra,West,85,Satisfactory,45.7,68.7,13.7,6.6,1.05,46.3,NO2
2015-05-04,2015,5,Mumbai,Maharashtra,West,41,Good,18.8,34.8,9.8,2.9,0.5,61.0,PM2.5
2015-05-05,2015,5,Mumbai,Maharashtra,West,88,Satisfactory,41.2,75.0,14.2,12.4,1.65,69.7,NO2
2015-05-06,2015,5,Mumbai,Maharashtra,West,93,Satisfactory,34.3,64.5,21.3,5.4,2.01,2.6,NO2
2015-05-07,2015,5,Mumbai,Maharashtra,West,62,Satisfactory,25.5,46.7,14.0,4.9,1.31,21.9,PM2.5
2015-05-08,2015,5,Mumbai,Maharashtra,West,183,Moderate,96.7,160.0,30.3,9.7,2.96,43.9,PM2.5
2015-05-09,2015,5,Mumbai,Maharashtra,West,63,Satisfactory,28.3,52.4,11.3,8.0,0.86,52.4,PM10
2015-05-10,2015,5,Mumbai,Maharashtra,West,85,Satisfactory,38.2,73.1,16.3,6.3,2.13,43.3,PM10
2015-05-11,2015,5,Mumbai,Maharashtra,West,103,Moderate,42.1,85.4,18.9,6.1,2.75,69.5,PM10
2015-05-12,2015,5,Mumbai,Maharashtra,West,47,Good,21.5,43.2,10.7,6.1,1.06,45.5,NO2
2015-05-13,2015,5,Mumbai,Maharashtra,West,111,Moderate,44.9,88.4,18.5,16.5,3.01,59.2,NO2
2015-05-14,2015,5,Mumbai,Maharashtra,West,110,Moderate,40.3,94.9,19.3,15.7,3.03,52.7,NO2
2015-05-15,2015,5,Mumbai,Maharashtra,West,78,Satisfactory,40.2,71.0,13.9,10.4,0.98,63.6,PM2.5
2015-05-16,2015,5,Mumbai,Maharashtra,West,45,Good,17.2,29.9,10.1,3.8,1.06,60.0,NO2
2015-05-17,2015,5,Mumbai,Maharashtra,West,74,Satisfactory,33.8,66.1,13.2,8.3,1.94,41.2,PM10
2015-05-18,2015,5,Mumbai,Maharashtra,West,46,Good,16.8,42.2,6.6,6.3,0.94,61.7,PM2.5
2015-05-19,2015,5,Mumbai,Maharashtra,West,65,Satisfactory,29.0,54.7,15.9,9.6,1.58,78.2,PM2.5
2015-05-20,2015,5,Mumbai,Maharashtra,West,40,Good,19.7,28.7,6.1,3.4,0.66,14.8,PM2.5
2015-05-21,2015,5,Mumbai,Maharashtra,West,53,Satisfactory,19.5,34.2,13.7,4.9,0.96,34.6,PM10
2015-05-22,2015,5,Mumbai,Maharashtra,West,52,Satisfactory,27.6,46.4,7.8,4.8,1.36,63.7,PM10
2015-05-23,2015,5,Mumbai,Maharashtra,West,78,Satisfactory,36.7,54.1,20.2,5.7,2.11,63.5,PM10
2015-05-24,2015,5,Mumbai,Maharashtra,West,127,Moderate,57.4,90.7,20.5,9.2,1.9,82.4,PM2.5
2015-05-25,2015,5,Mumbai,Maharashtra,West,61,Satisfactory,22.6,58.0,15.0,8.7,1.7,73.8,PM2.5
2015-05-26,2015,5,Mumbai,Maharashtra,West,68,Satisfactory,33.8,58.7,10.8,8.9,1.06,26.5,NO2
2015-05-27,2015,5,Mumbai,Maharashtra,West,86,Satisfactory,40.1,71.0,13.0,11.8,1.4,19.7,NO2
2015-05-28,2015,5,Mumbai,Maharashtra,West,99,Satisfactory,45.5,66.1,18.7,8.6,1.6,71.7,PM10
2015-05-29,2015,5,Mumbai,Maharashtra,West,78,Satisfactory,29.2,55.4,17.3,4.5,2.0,85.9,PM2.5
2015-05-30,2015,5,Mumbai,Maharashtra,West,19,Good,8.9,17.2,3.5,2.2,0.4,32.6,NO2
2015-05-31,2015,5,Mumbai,Maharashtra,West,101,Moderate,50.9,85.9,24.4,13.8,2.36,42.8,PM10
2015-06-01,2015,6,Mumbai,Maharashtra,West,68,Satisfactory,32.8,57.0,15.7,4.5,1.77,67.1,PM10
2015-06-02,2015,6,Mumbai,Maharashtra,West,52,Satisfactory,21.9,45.7,8.3,6.9,1.32,52.9,NO2
2015-06-03,2015,6,Mumbai,Maharashtra,West,51,Satisfactory,21.0,42.7,13.1,5.8,0.82,50.1,PM10
2015-06-04,2015,6,Mumbai,Maharashtra,West,72,Satisfactory,36.0,48.5,16.7,7.5,1.97,93.3,PM2.5
2015-06-05,2015,6,Mumbai,Maharashtra,West,90,Satisfactory,47.5,60.6,22.7,10.7,1.18,21.2,PM10
2015-06-06,2015,6,Mumbai,Maharashtra,West,86,Satisfactory,32.0,71.1,15.6,9.6,1.09,29.5,PM2.5
2015-06-07,2015,6,Mumbai,Maharashtra,West,64,Satisfactory,23.3,41.4,11.4,6.3,1.56,39.5,PM2.5
2015-06-08,2015,6,Mumbai,Maharashtra,West,44,Good,18.0,42.2,8.4,4.2,0.64,87.6,NO2
2015-06-09,2015,6,Mumbai,Maharashtra,West,72,Satisfactory,28.8,48.0,16.0,8.3,1.18,69.7,NO2
2015-06-10,2015,6,Mumbai,Maharashtra,West,72,Satisfactory,31.4,60.8,13.5,5.6,2.0,48.0,NO2
2015-06-11,2015,6,Mumbai,Maharashtra,West,80,Satisfactory,32.1,56.7,11.5,9.2,1.43,45.9,PM10
2015-06-12,2015,6,Mumbai,Maharashtra,West,54,Satisfactory,28.9,37.8,13.2,6.9,1.31,72.3,NO2
2015-06-13,2015,6,Mumbai,Maharashtra,West,67,Satisfactory,31.7,45.7,9.6,9.5,1.47,62.2,NO2
2015-06-14,2015,6,Mumbai,Maharashtra,West,54,Satisfactory,20.6,36.7,12.0,5.0,0.82,78.8,PM10
2015-06-15,2015,6,Mumbai,Maharashtra,West,41,Good,19.1,29.8,9.7,3.3,0.79,49.7,NO2
2015-06-16,2015,6,Mumbai,Maharashtra,West,46,Good,21.5,33.7,10.3,6.3,1.13,1.5,PM10
2015-06-17,2015,6,Mumbai,Maharashtra,West,55,Satisfactory,20.8,39.5,14.2,3.5,1.1,38.6,PM10
2015-06-18,2015,6,Mumbai,Maharashtra,West,102,Moderate,47.0,65.6,18.3,10.4,1.37,67.5,PM2.5
2015-06-19,2015,6,Mumbai,Maharashtra,West,50,Good,18.7,38.4,7.8,5.3,1.15,48.3,PM2.5
2015-06-20,2015,6,Mumbai,Maharashtra,West,44,Good,17.2,29.6,9.5,5.3,0.55,61.5,NO2
2015-06-21,2015,6,Mumbai,Maharashtra,West,115,Moderate,59.4,99.9,27.2,9.7,2.88,57.2,PM10
2015-06-22,2015,6,Mumbai,Maharashtra,West,94,Satisfactory,41.5,79.5,19.1,11.6,1.25,54.0,PM2.5
2015-06-23,2015,6,Mumbai,Maharashtra,West,37,Good,18.6,31.5,7.4,3.9,0.87,39.4,PM2.5
2015-06-24,2015,6,Mumbai,Maharashtra,West,56,Satisfactory,22.2,48.0,8.3,3.0,0.9,52.4,PM2.5
2015-06-25,2015,6,Mumbai,Maharashtra,West,86,Satisfactory,42.2,75.5,16.4,7.3,1.54,47.8,PM2.5
2015-06-26,2015,6,Mumbai,Maharashtra,West,61,Satisfactory,26.8,53.2,12.1,8.4,1.61,70.9,NO2
2015-06-27,2015,6,Mumbai,Maharashtra,West,29,Good,13.5,27.0,4.8,3.3,0.64,38.5,PM2.5
2015-06-28,2015,6,Mumbai,Maharashtra,West,43,Good,21.0,40.0,6.9,3.2,1.18,57.9,NO2
2015-06-29,2015,6,Mumbai,Maharashtra,West,63,Satisfactory,28.3,45.3,15.4,6.0,1.27,44.2,PM10
2015-06-30,2015,6,Mumbai,Maharashtra,West,88,Satisfactory,34.3,67.3,22.6,6.7,1.98,15.2,NO2
2015-07-01,2015,7,Mumbai,Maharashtra,West,87,Satisfactory,33.4,82.7,16.9,6.4,1.15,35.8,PM2.5
2015-07-02,2015,7,Mumbai,Maharashtra,West,57,Satisfactory,24.0,51.6,10.9,4.3,1.25,24.3,PM10
2015-07-03,2015,7,Mumbai,Maharashtra,West,40,Good,15.6,26.1,9.1,4.7,0.78,60.4,PM10
2015-07-04,2015,7,Mumbai,Maharashtra,West,65,Satisfactory,30.2,59.7,10.7,4.0,1.06,58.6,NO2
2015-07-05,2015,7,Mumbai,Maharashtra,West,57,Satisfactory,30.1,37.2,8.8,5.4,1.54,36.2,PM10
2015-07-06,2015,7,Mumbai,Maharashtra,West,57,Satisfactory,20.9,39.2,14.7,8.4,0.69,10.0,NO2
2015-07-07,2015,7,Mumbai,Maharashtra,West,59,Satisfactory,30.5,46.3,11.9,5.8,1.34,59.1,PM10
2015-07-08,2015,7,Mumbai,Maharashtra,West,87,Satisfactory,34.5,74.4,22.3,5.2,1.98,29.2,NO2
2015-07-09,2015,7,Mumbai,Maharashtra,West,86,Satisfactory,33.7,74.1,20.7,12.4,1.97,46.7,PM2.5
2015-07-10,2015,7,Mumbai,Maharashtra,West,146,Moderate,75.4,120.1,21.0,20.9,3.36,48.8,NO2
2015-07-11,2015,7,Mumbai,Maharashtra,West,36,Good,17.2,27.6,7.9,2.2,0.81,63.4,NO2
2015-07-12,2015,7,Mumbai,Maharashtra,West,54,Satisfactory,27.9,48.1,11.2,6.7,1.41,56.6,PM2.5
2015-07-13,2015,7,Mumbai,Maharashtra,West,28,Good,13.4,25.2,6.5,3.6,0.53,31.3,NO2
2015-07-14,2015,7,Mumbai,Maharashtra,West,52,Satisfactory,23.8,33.4,9.3,4.5,0.95,52.5,NO2
2015-07-15,2015,7,Mumbai,Maharashtra,West,39,Good,17.2,27.9,7.2,2.8,0.51,81.1,PM10
2015-07-16,2015,7,Mumbai,Maharashtra,West,108,Moderate,50.9,85.1,20.0,14.7,2.19,70.2,NO2
2015-07-17,2015,7,Mumbai,Maharashtra,West,46,Good,19.4,35.0,8.6,5.0,0.94,49.6,PM10
2015-07-18,2015,7,Mumbai,Maharashtra,West,97,Satisfactory,49.1,84.4,24.7,5.0,1.47,61.3,PM2.5
2015-07-19,2015,7,Mumbai,Maharashtra,West,50,Good,26.3,33.0,12.6,4.3,0.68,57.8,PM10
2015-07-20,2015,7,Mumbai,Maharashtra,West,28,Good,11.5,20.7,6.6,2.9,0.48,48.0,PM10
2015-07-21,2015,7,Mumbai,Maharashtra,West,102,Moderate,41.7,78.8,15.8,6.9,2.34,65.5,PM2.5
2015-07-22,2015,7,Mumbai,Maharashtra,West,58,Satisfactory,28.3,39.1,12.1,4.4,1.59,23.3,PM10
2015-07-23,2015,7,Mumbai,Maharashtra,West,97,Satisfactory,44.5,63.4,20.9,14.1,2.1,48.5,PM2.5
2015-07-24,2015,7,Mumbai,Maharashtra,West,57,Satisfactory,22.9,40.3,12.2,5.2,1.45,50.8,NO2
2015-07-25,2015,7,Mumbai,Maharashtra,West,50,Good,20.1,44.5,8.6,6.6,0.94,65.0,NO2
2015-07-26,2015,7,Mumbai,Maharashtra,West,42,Good,19.8,33.0,8.8,2.8,1.0,55.6,PM10
2015-07-27,2015,7,Mumbai,Maharashtra,West,48,Good,18.1,31.1,10.4,5.3,1.0,59.1,NO2
2015-07-28,2015,7,Mumbai,Maharashtra,West,44,Good,20.5,35.2,11.4,2.8,1.02,22.6,PM2.5
2015-07-29,2015,7,Mumbai,Maharashtra,West,31,Good,15.2,26.7,8.0,1.9,0.42,11.7,NO2
2015-07-30,2015,7,Mumbai,Maharashtra,West,70,Satisfactory,28.7,46.6,10.5,9.8,1.05,82.6,PM2.5
2015-07-31,2015,7,Mumbai,Maharashtra,West,36,Good,15.3,23.8,7.3,2.0,0.89,35.8,NO2
2015-08-01,2015,8,Mumbai,Maharashtra,West,61,Satisfactory,31.6,51.7,12.4,5.0,1.06,18.9,PM10
2015-08-02,2015,8,Mumbai,Maharashtra,West,73,Satisfactory,35.9,57.6,10.7,7.8,1.99,88.9,NO2
2015-08-03,2015,8,Mumbai,Maharashtra,West,69,Satisfactory,27.3,56.0,10.5,6.6,1.66,31.6,NO2
2015-08-04,2015,8,Mumbai,Maharashtra,West,94,Satisfactory,47.3,88.0,15.8,8.5,1.36,25.7,NO2
2015-08-05,2015,8,Mumbai,Maharashtra,West,90,Satisfactory,40.8,75.6,13.6,11.3,1.26,52.8,PM2.5
