year,month,month_num,state,district,agro_zone,rainfall_mm,normal_mm,departure_mm,departure_pct,category,rainy_days_est
1901,Jan,1,Chhattisgarh,Chhattisgarh Central,Arid,6.6,10.2,-3.6,-35.6,Deficient,0
1901,Feb,2,Chhattisgarh,Chhattisgarh Central,Arid,9.8,10.2,-0.4,-4.2,Normal,1
1901,Mar,3,Chhattisgarh,Chhattisgarh Central,Arid,20.9,20.5,0.4,2.0,Normal,2
1901,Apr,4,Chhattisgarh,Chhattisgarh Central,Arid,25.8,30.7,-4.9,-15.9,Normal,3
1901,May,5,Chhattisgarh,Chhattisgarh Central,Arid,53.3,51.2,2.1,4.0,Normal,6
1901,Jun,6,Chhattisgarh,Chhattisgarh Central,Arid,191.1,184.3,6.8,3.7,Normal,23
1901,Jul,7,Chhattisgarh,Chhattisgarh Central,Arid,133.6,256.0,-122.4,-47.8,Deficient,16
1901,Aug,8,Chhattisgarh,Chhattisgarh Central,Arid,245.4,225.3,20.1,8.9,Normal,30
1901,Sep,9,Chhattisgarh,Chhattisgarh Central,Arid,96.5,122.9,-26.4,-21.5,Deficient,12
1901,Oct,10,Chhattisgarh,Chhattisgarh Central,Arid,72.5,71.7,0.9,1.2,Normal,9
1901,Nov,11,Chhattisgarh,Chhattisgarh Central,Arid,26.5,30.7,-4.3,-13.8,Normal,3
1901,Dec,12,Chhattisgarh,Chhattisgarh Central,Arid,7.7,10.2,-2.6,-25.2,Deficient,0
1901,Jan,1,Goa,Goa Central,Humid,9.5,7.8,1.7,21.6,Excess,1
1901,Feb,2,Goa,Goa Central,Humid,12.4,7.8,4.6,59.4,Excess,1
1901,Mar,3,Goa,Goa Central,Humid,13.3,15.6,-2.3,-14.6,Normal,1
1901,Apr,4,Goa,Goa Central,Humid,27.2,23.3,3.9,16.5,Normal,3
1901,May,5,Goa,Goa Central,Humid,54.4,38.9,15.5,39.8,Excess,6
1901,Jun,6,Goa,Goa Central,Humid,103.7,140.0,-36.3,-26.0,Deficient,12
1901,Jul,7,Goa,Goa Central,Humid,186.0,194.5,-8.5,-4.4,Normal,23
1901,Aug,8,Goa,Goa Central,Humid,159.7,171.2,-11.4,-6.7,Normal,19
1901,Sep,9,Goa,Goa Central,Humid,101.2,93.4,7.9,8.4,Normal,12
1901,Oct,10,Goa,Goa Central,Humid,81.4,54.5,26.9,49.4,Excess,10
1901,Nov,11,Goa,Goa Central,Humid,19.4,23.3,-3.9,-16.9,Normal,2
1901,Dec,12,Goa,Goa Central,Humid,6.0,7.8,-1.8,-23.5,Deficient,0
1901,Jan,1,Gujarat,Gujarat Central,Semi-Arid,34.8,22.7,12.1,53.6,Excess,4
1901,Feb,2,Gujarat,Gujarat Central,Semi-Arid,19.0,22.7,-3.6,-16.0,Normal,2
1901,Mar,3,Gujarat,Gujarat Central,Semi-Arid,32.6,45.3,-12.8,-28.2,Deficient,4
1901,Apr,4,Gujarat,Gujarat Central,Semi-Arid,92.0,68.0,24.0,35.3,Excess,11
1901,May,5,Gujarat,Gujarat Central,Semi-Arid,53.1,113.4,-60.3,-53.2,Deficient,6
1901,Jun,6,Gujarat,Gujarat Central,Semi-Arid,394.6,408.1,-13.5,-3.3,Normal,30
1901,Jul,7,Gujarat,Gujarat Central,Semi-Arid,243.2,566.8,-323.6,-57.1,Deficient,30
1901,Aug,8,Gujarat,Gujarat Central,Semi-Arid,708.8,498.7,210.1,42.1,Excess,30
1901,Sep,9,Gujarat,Gujarat Central,Semi-Arid,149.2,272.0,-122.8,-45.2,Deficient,18
1901,Oct,10,Gujarat,Gujarat Central,Semi-Arid,217.2,158.7,58.5,36.9,Excess,27
1901,Nov,11,Gujarat,Gujarat Central,Semi-Arid,48.4,68.0,-19.6,-28.8,Deficient,6
1901,Dec,12,Gujarat,Gujarat Central,Semi-Arid,26.5,22.7,3.8,16.8,Normal,3
1901,Jan,1,Haryana,Haryana Central,Humid,2.2,7.5,-5.3,-70.5,Scanty,0
1901,Feb,2,Haryana,Haryana Central,Humid,6.9,7.5,-0.5,-7.0,Normal,0
1901,Mar,3,Haryana,Haryana Central,Humid,15.4,14.9,0.5,3.4,Normal,1
1901,Apr,4,Haryana,Haryana Central,Humid,13.6,22.4,-8.8,-39.4,Deficient,1
1901,May,5,Haryana,Haryana Central,Humid,40.1,37.4,2.7,7.4,Normal,5
1901,Jun,6,Haryana,Haryana Central,Humid,115.9,134.5,-18.6,-13.8,Normal,14
1901,Jul,7,Haryana,Haryana Central,Humid,101.6,186.8,-85.2,-45.6,Deficient,12
1901,Aug,8,Haryana,Haryana Central,Humid,268.6,164.3,104.2,63.4,Excess,30
1901,Sep,9,Haryana,Haryana Central,Humid,90.5,89.6,0.9,1.0,Normal,11
1901,Oct,10,Haryana,Haryana Central,Humid,27.3,52.3,-25.0,-47.8,Deficient,3
1901,Nov,11,Haryana,Haryana Central,Humid,7.1,22.4,-15.3,-68.5,Scanty,0
1901,Dec,12,Haryana,Haryana Central,Humid,3.1,7.5,-4.3,-57.9,Deficient,0
1901,Jan,1,Himachal Pradesh,Himachal Pradesh Central,Semi-Arid,5.8,8.2,-2.3,-28.5,Deficient,0
1901,Feb,2,Himachal Pradesh,Himachal Pradesh Central,Semi-Arid,7.9,8.2,-0.2,-2.8,Normal,0
1901,Mar,3,Himachal Pradesh,Himachal Pradesh Central,Semi-Arid,18.9,16.3,2.5,15.5,Normal,2
1901,Apr,4,Himachal Pradesh,Himachal Pradesh Central,Semi-Arid,21.5,24.5,-3.0,-12.3,Normal,2
1901,May,5,Himachal Pradesh,Himachal Pradesh Central,Semi-Arid,49.3,40.9,8.5,20.8,Excess,6
1901,Jun,6,Himachal Pradesh,Himachal Pradesh Central,Semi-Arid,118.2,147.1,-28.9,-19.7,Deficient,14
1901,Jul,7,Himachal Pradesh,Himachal Pradesh Central,Semi-Arid,183.1,204.2,-21.2,-10.4,Normal,22
1901,Aug,8,Himachal Pradesh,Himachal Pradesh Central,Semi-Arid,215.1,179.7,35.4,19.7,Normal,26
1901,Sep,9,Himachal Pradesh,Himachal Pradesh Central,Semi-Arid,53.6,98.0,-44.4,-45.3,Deficient,6
1901,Oct,10,Himachal Pradesh,Himachal Pradesh Central,Semi-Arid,40.5,57.2,-16.7,-29.2,Deficient,5
1901,Nov,11,Himachal Pradesh,Himachal Pradesh Central,Semi-Arid,15.4,24.5,-9.1,-37.1,Deficient,1
1901,Dec,12,Himachal Pradesh,Himachal Pradesh Central,Semi-Arid,4.3,8.2,-3.8,-46.8,Deficient,0
1901,Jan,1,Jharkhand,Jharkhand Central,Humid,5.5,8.6,-3.0,-35.2,Deficient,0
1901,Feb,2,Jharkhand,Jharkhand Central,Humid,7.7,8.6,-0.8,-9.9,Normal,0
1901,Mar,3,Jharkhand,Jharkhand Central,Humid,27.2,17.1,10.0,58.7,Excess,3
1901,Apr,4,Jharkhand,Jharkhand Central,Humid,46.6,25.7,20.9,81.4,Excess,5
1901,May,5,Jharkhand,Jharkhand Central,Humid,34.6,42.8,-8.2,-19.2,Deficient,4
1901,Jun,6,Jharkhand,Jharkhand Central,Humid,164.3,154.1,10.2,6.6,Normal,20
1901,Jul,7,Jharkhand,Jharkhand Central,Humid,298.1,214.0,84.1,39.3,Excess,30
1901,Aug,8,Jharkhand,Jharkhand Central,Humid,136.1,188.3,-52.2,-27.7,Deficient,17
1901,Sep,9,Jharkhand,Jharkhand Central,Humid,36.5,102.7,-66.2,-64.5,Scanty,4
1901,Oct,10,Jharkhand,Jharkhand Central,Humid,90.6,59.9,30.7,51.2,Excess,11
1901,Nov,11,Jharkhand,Jharkhand Central,Humid,20.9,25.7,-4.7,-18.4,Normal,2
1901,Dec,12,Jharkhand,Jharkhand Central,Humid,12.9,8.6,4.3,50.3,Excess,1
1901,Jan,1,Karnataka,Karnataka Central,Humid,7.2,6.7,0.6,8.4,Normal,0
1901,Feb,2,Karnataka,Karnataka Central,Humid,6.4,6.7,-0.3,-4.4,Normal,0
1901,Mar,3,Karnataka,Karnataka Central,Humid,7.4,13.3,-5.9,-44.4,Deficient,0
1901,Apr,4,Karnataka,Karnataka Central,Humid,19.2,20.0,-0.8,-4.2,Normal,2
1901,May,5,Karnataka,Karnataka Central,Humid,42.3,33.4,9.0,26.9,Excess,5
1901,Jun,6,Karnataka,Karnataka Central,Humid,51.2,120.1,-68.9,-57.4,Deficient,6
1901,Jul,7,Karnataka,Karnataka Central,Humid,79.8,166.8,-87.0,-52.2,Deficient,9
1901,Aug,8,Karnataka,Karnataka Central,Humid,146.9,146.7,0.2,0.1,Normal,18
1901,Sep,9,Karnataka,Karnataka Central,Humid,57.3,80.0,-22.8,-28.5,Deficient,7
1901,Oct,10,Karnataka,Karnataka Central,Humid,24.7,46.7,-22.0,-47.1,Deficient,3
1901,Nov,11,Karnataka,Karnataka Central,Humid,24.0,20.0,4.0,20.1,Excess,3
1901,Dec,12,Karnataka,Karnataka Central,Humid,3.3,6.7,-3.4,-50.8,Deficient,0
1901,Jan,1,Kerala,Kerala Central,Sub-Humid,12.4,20.8,-8.4,-40.2,Deficient,1
1901,Feb,2,Kerala,Kerala Central,Sub-Humid,14.9,20.8,-5.9,-28.4,Deficient,1
1901,Mar,3,Kerala,Kerala Central,Sub-Humid,91.2,41.6,49.6,119.1,Excess,11
1901,Apr,4,Kerala,Kerala Central,Sub-Humid,89.4,62.4,27.0,43.3,Excess,11
1901,May,5,Kerala,Kerala Central,Sub-Humid,174.5,104.0,70.5,67.8,Excess,21
1901,Jun,6,Kerala,Kerala Central,Sub-Humid,532.6,374.4,158.2,42.3,Excess,30
1901,Jul,7,Kerala,Kerala Central,Sub-Humid,991.1,520.0,471.1,90.6,Excess,30
1901,Aug,8,Kerala,Kerala Central,Sub-Humid,767.1,457.6,309.5,67.6,Excess,30
1901,Sep,9,Kerala,Kerala Central,Sub-Humid,225.3,249.6,-24.3,-9.7,Normal,28
1901,Oct,10,Kerala,Kerala Central,Sub-Humid,169.9,145.6,24.3,16.7,Normal,21
1901,Nov,11,Kerala,Kerala Central,Sub-Humid,96.4,62.4,34.0,54.4,Excess,12
1901,Dec,12,Kerala,Kerala Central,Sub-Humid,24.7,20.8,3.9,18.8,Normal,3
1901,Jan,1,Madhya Pradesh,Madhya Pradesh Central,Humid,17.0,23.8,-6.7,-28.3,Deficient,2
1901,Feb,2,Madhya Pradesh,Madhya Pradesh Central,Humid,20.9,23.8,-2.9,-12.1,Normal,2
1901,Mar,3,Madhya Pradesh,Madhya Pradesh Central,Humid,48.7,47.5,1.2,2.6,Normal,6
1901,Apr,4,Madhya Pradesh,Madhya Pradesh Central,Humid,47.9,71.2,-23.3,-32.8,Deficient,5
1901,May,5,Madhya Pradesh,Madhya Pradesh Central,Humid,83.7,118.8,-35.0,-29.5,Deficient,10
1901,Jun,6,Madhya Pradesh,Madhya Pradesh Central,Humid,479.9,427.5,52.4,12.2,Normal,30
1901,Jul,7,Madhya Pradesh,Madhya Pradesh Central,Humid,361.7,593.8,-232.1,-39.1,Deficient,30
1901,Aug,8,Madhya Pradesh,Madhya Pradesh Central,Humid,438.4,522.5,-84.1,-16.1,Normal,30
1901,Sep,9,Madhya Pradesh,Madhya Pradesh Central,Humid,355.0,285.0,70.0,24.6,Excess,30
1901,Oct,10,Madhya Pradesh,Madhya Pradesh Central,Humid,150.7,166.3,-15.6,-9.4,Normal,18
1901,Nov,11,Madhya Pradesh,Madhya Pradesh Central,Humid,123.4,71.2,52.2,73.2,Excess,15
1901,Dec,12,Madhya Pradesh,Madhya Pradesh Central,Humid,11.8,23.8,-12.0,-50.4,Deficient,1
1901,Jan,1,Maharashtra,Maharashtra Central,Sub-Humid,33.3,21.4,11.9,55.5,Excess,4
1901,Feb,2,Maharashtra,Maharashtra Central,Sub-Humid,30.2,21.4,8.8,41.3,Excess,3
1901,Mar,3,Maharashtra,Maharashtra Central,Sub-Humid,76.8,42.8,34.0,79.3,Excess,9
1901,Apr,4,Maharashtra,Maharashtra Central,Sub-Humid,61.8,64.2,-2.4,-3.7,Normal,7
1901,May,5,Maharashtra,Maharashtra Central,Sub-Humid,196.4,107.0,89.4,83.5,Excess,24
1901,Jun,6,Maharashtra,Maharashtra Central,Sub-Humid,1271.3,385.2,886.1,230.0,Excess,30
1901,Jul,7,Maharashtra,Maharashtra Central,Sub-Humid,659.3,535.0,124.3,23.2,Excess,30
1901,Aug,8,Maharashtra,Maharashtra Central,Sub-Humid,1382.6,470.8,911.8,193.7,Excess,30
1901,Sep,9,Maharashtra,Maharashtra Central,Sub-Humid,534.5,256.8,277.7,108.1,Excess,30
1901,Oct,10,Maharashtra,Maharashtra Central,Sub-Humid,328.0,149.8,178.2,119.0,Excess,30
1901,Nov,11,Maharashtra,Maharashtra Central,Sub-Humid,199.5,64.2,135.3,210.8,Excess,24
1901,Dec,12,Maharashtra,Maharashtra Central,Sub-Humid,30.8,21.4,9.4,43.9,Excess,3
1901,Jan,1,Manipur,Manipur Central,Sub-Humid,13.5,8.2,5.4,66.1,Excess,1
1901,Feb,2,Manipur,Manipur Central,Sub-Humid,7.2,8.2,-0.9,-11.4,Normal,0
1901,Mar,3,Manipur,Manipur Central,Sub-Humid,17.0,16.3,0.7,4.4,Normal,2
1901,Apr,4,Manipur,Manipur Central,Sub-Humid,41.0,24.4,16.6,67.7,Excess,5
1901,May,5,Manipur,Manipur Central,Sub-Humid,82.6,40.8,41.9,102.7,Excess,10
1901,Jun,6,Manipur,Manipur Central,Sub-Humid,131.9,146.7,-14.8,-10.1,Normal,16
1901,Jul,7,Manipur,Manipur Central,Sub-Humid,247.5,203.8,43.8,21.5,Excess,30
1901,Aug,8,Manipur,Manipur Central,Sub-Humid,289.9,179.3,110.6,61.7,Excess,30
1901,Sep,9,Manipur,Manipur Central,Sub-Humid,120.6,97.8,22.8,23.3,Excess,15
1901,Oct,10,Manipur,Manipur Central,Sub-Humid,58.0,57.1,0.9,1.6,Normal,7
1901,Nov,11,Manipur,Manipur Central,Sub-Humid,49.7,24.4,25.3,103.3,Excess,6
1901,Dec,12,Manipur,Manipur Central,Sub-Humid,6.1,8.2,-2.1,-25.5,Deficient,0
1901,Jan,1,Meghalaya,Meghalaya Central,Semi-Arid,17.6,11.9,5.6,47.1,Excess,2
1901,Feb,2,Meghalaya,Meghalaya Central,Semi-Arid,27.8,11.9,15.9,133.4,Excess,3
1901,Mar,3,Meghalaya,Meghalaya Central,Semi-Arid,25.6,23.9,1.7,7.1,Normal,3
1901,Apr,4,Meghalaya,Meghalaya Central,Semi-Arid,28.5,35.8,-7.3,-20.4,Deficient,3
1901,May,5,Meghalaya,Meghalaya Central,Semi-Arid,57.6,59.7,-2.0,-3.4,Normal,7
1901,Jun,6,Meghalaya,Meghalaya Central,Semi-Arid,186.6,214.7,-28.2,-13.1,Normal,23
1901,Jul,7,Meghalaya,Meghalaya Central,Semi-Arid,389.9,298.2,91.7,30.7,Excess,30
1901,Aug,8,Meghalaya,Meghalaya Central,Semi-Arid,218.7,262.5,-43.7,-16.7,Normal,27
1901,Sep,9,Meghalaya,Meghalaya Central,Semi-Arid,171.1,143.2,28.0,19.5,Normal,21
1901,Oct,10,Meghalaya,Meghalaya Central,Semi-Arid,108.8,83.5,25.3,30.3,Excess,13
1901,Nov,11,Meghalaya,Meghalaya Central,Semi-Arid,169.9,35.8,134.1,374.6,Excess,21
1901,Dec,12,Meghalaya,Meghalaya Central,Semi-Arid,13.7,11.9,1.7,14.4,Normal,1
1901,Jan,1,Mizoram,Mizoram Central,Humid,15.1,7.4,7.6,102.8,Excess,1
1901,Feb,2,Mizoram,Mizoram Central,Humid,7.1,7.4,-0.4,-5.0,Normal,0
1901,Mar,3,Mizoram,Mizoram Central,Humid,8.0,14.9,-6.8,-45.9,Deficient,1
1901,Apr,4,Mizoram,Mizoram Central,Humid,29.2,22.3,6.9,30.8,Excess,3
1901,May,5,Mizoram,Mizoram Central,Humid,47.7,37.1,10.6,28.5,Excess,5
1901,Jun,6,Mizoram,Mizoram Central,Humid,246.4,133.7,112.7,84.2,Excess,30
1901,Jul,7,Mizoram,Mizoram Central,Humid,144.5,185.8,-41.2,-22.2,Deficient,18
1901,Aug,8,Mizoram,Mizoram Central,Humid,208.4,163.5,44.9,27.5,Excess,26
1901,Sep,9,Mizoram,Mizoram Central,Humid,107.0,89.2,17.8,20.0,Normal,13
1901,Oct,10,Mizoram,Mizoram Central,Humid,43.5,52.0,-8.5,-16.4,Normal,5
1901,Nov,11,Mizoram,Mizoram Central,Humid,14.8,22.3,-7.5,-33.8,Deficient,1
1901,Dec,12,Mizoram,Mizoram Central,Humid,11.6,7.4,4.1,55.8,Excess,1
1901,Jan,1,Nagaland,Nagaland Central,Sub-Humid,13.9,13.7,0.2,1.2,Normal,1
1901,Feb,2,Nagaland,Nagaland Central,Sub-Humid,20.2,13.7,6.5,47.3,Excess,2
1901,Mar,3,Nagaland,Nagaland Central,Sub-Humid,24.1,27.4,-3.3,-12.2,Normal,3
1901,Apr,4,Nagaland,Nagaland Central,Sub-Humid,36.7,41.2,-4.5,-10.8,Normal,4
1901,May,5,Nagaland,Nagaland Central,Sub-Humid,60.5,68.6,-8.1,-11.8,Normal,7
1901,Jun,6,Nagaland,Nagaland Central,Sub-Humid,243.0,247.0,-4.0,-1.6,Normal,30
1901,Jul,7,Nagaland,Nagaland Central,Sub-Humid,327.5,343.0,-15.5,-4.5,Normal,30
1901,Aug,8,Nagaland,Nagaland Central,Sub-Humid,188.9,301.8,-113.0,-37.4,Deficient,23
1901,Sep,9,Nagaland,Nagaland Central,Sub-Humid,123.4,164.6,-41.3,-25.1,Deficient,15
1901,Oct,10,Nagaland,Nagaland Central,Sub-Humid,110.1,96.0,14.1,14.7,Normal,13
1901,Nov,11,Nagaland,Nagaland Central,Sub-Humid,13.7,41.2,-27.5,-66.8,Scanty,1
1901,Dec,12,Nagaland,Nagaland Central,Sub-Humid,7.7,13.7,-6.1,-44.2,Deficient,0
1901,Jan,1,Odisha,Odisha Central,Semi-Arid,21.1,15.9,5.2,32.6,Excess,2
1901,Feb,2,Odisha,Odisha Central,Semi-Arid,23.0,15.9,7.1,44.7,Excess,2
1901,Mar,3,Odisha,Odisha Central,Semi-Arid,79.4,31.8,47.6,149.5,Excess,9
1901,Apr,4,Odisha,Odisha Central,Semi-Arid,28.1,47.7,-19.6,-41.0,Deficient,3
1901,May,5,Odisha,Odisha Central,Semi-Arid,64.4,79.6,-15.2,-19.1,Deficient,8
1901,Jun,6,Odisha,Odisha Central,Semi-Arid,208.6,286.4,-77.8,-27.2,Deficient,26
1901,Jul,7,Odisha,Odisha Central,Semi-Arid,496.9,397.8,99.2,24.9,Excess,30
1901,Aug,8,Odisha,Odisha Central,Semi-Arid,533.9,350.0,183.8,52.5,Excess,30
1901,Sep,9,Odisha,Odisha Central,Semi-Arid,316.9,190.9,125.9,66.0,Excess,30
1901,Oct,10,Odisha,Odisha Central,Semi-Arid,110.5,111.4,-0.9,-0.8,Normal,13
1901,Nov,11,Odisha,Odisha Central,Semi-Arid,71.4,47.7,23.6,49.5,Excess,8
1901,Dec,12,Odisha,Odisha Central,Semi-Arid,21.2,15.9,5.3,33.3,Excess,2
1901,Jan,1,Punjab,Punjab Central,Sub-Humid,16.0,21.5,-5.6,-25.8,Deficient,1
1901,Feb,2,Punjab,Punjab Central,Sub-Humid,20.2,21.5,-1.3,-6.2,Normal,2
1901,Mar,3,Punjab,Punjab Central,Sub-Humid,45.1,43.0,2.0,4.7,Normal,5
1901,Apr,4,Punjab,Punjab Central,Sub-Humid,104.5,64.6,40.0,61.9,Excess,13
1901,May,5,Punjab,Punjab Central,Sub-Humid,54.6,107.6,-53.0,-49.2,Deficient,6
1901,Jun,6,Punjab,Punjab Central,Sub-Humid,355.4,387.4,-32.0,-8.3,Normal,30
1901,Jul,7,Punjab,Punjab Central,Sub-Humid,1499.1,538.0,961.1,178.6,Excess,30
1901,Aug,8,Punjab,Punjab Central,Sub-Humid,278.5,473.4,-195.0,-41.2,Deficient,30
1901,Sep,9,Punjab,Punjab Central,Sub-Humid,277.7,258.2,19.4,7.5,Normal,30
1901,Oct,10,Punjab,Punjab Central,Sub-Humid,136.0,150.6,-14.7,-9.7,Normal,16
1901,Nov,11,Punjab,Punjab Central,Sub-Humid,54.4,64.6,-10.2,-15.8,Normal,6
1901,Dec,12,Punjab,Punjab Central,Sub-Humid,7.7,21.5,-13.8,-64.1,Scanty,0
1901,Jan,1,Rajasthan,Rajasthan Central,Humid,8.3,14.1,-5.8,-41.0,Deficient,1
1901,Feb,2,Rajasthan,Rajasthan Central,Humid,16.8,14.1,2.8,19.8,Normal,2
1901,Mar,3,Rajasthan,Rajasthan Central,Humid,22.8,28.1,-5.3,-18.8,Normal,2
1901,Apr,4,Rajasthan,Rajasthan Central,Humid,62.9,42.2,20.7,49.1,Excess,7
1901,May,5,Rajasthan,Rajasthan Central,Humid,80.0,70.3,9.7,13.8,Normal,9
1901,Jun,6,Rajasthan,Rajasthan Central,Humid,154.8,253.1,-98.2,-38.8,Deficient,19
1901,Jul,7,Rajasthan,Rajasthan Central,Humid,224.3,351.5,-127.2,-36.2,Deficient,28
1901,Aug,8,Rajasthan,Rajasthan Central,Humid,553.2,309.3,243.9,78.8,Excess,30
1901,Sep,9,Rajasthan,Rajasthan Central,Humid,187.7,168.7,19.0,11.3,Normal,23
1901,Oct,10,Rajasthan,Rajasthan Central,Humid,82.5,98.4,-15.9,-16.1,Normal,10
1901,Nov,11,Rajasthan,Rajasthan Central,Humid,40.5,42.2,-1.7,-3.9,Normal,5
1901,Dec,12,Rajasthan,Rajasthan Central,Humid,11.0,14.1,-3.1,-22.0,Deficient,1
1901,Jan,1,Sikkim,Sikkim Central,Sub-Humid,13.5,21.5,-8.0,-37.2,Deficient,1
1901,Feb,2,Sikkim,Sikkim Central,Sub-Humid,15.0,21.5,-6.5,-30.2,Deficient,1
1901,Mar,3,Sikkim,Sikkim Central,Sub-Humid,29.4,43.1,-13.7,-31.8,Deficient,3
1901,Apr,4,Sikkim,Sikkim Central,Sub-Humid,39.2,64.6,-25.4,-39.3,Deficient,4
1901,May,5,Sikkim,Sikkim Central,Sub-Humid,85.1,107.7,-22.6,-21.0,Deficient,10
1901,Jun,6,Sikkim,Sikkim Central,Sub-Humid,226.9,387.7,-160.8,-41.5,Deficient,28
1901,Jul,7,Sikkim,Sikkim Central,Sub-Humid,451.5,538.5,-87.0,-16.2,Normal,30
